id,filename,image,title,date,year_start,year_end,year,description,medium,measurements,width_in,height_in,aspect_ratio,orientation,repository,subjects_joined,local_identifier,source,people,places,railroads,rights,rights_notes,source_url
community.32587443,community.32587443.jpg,/images/community.32587443.jpg,Tweetsie locomotive on the Shenandoah Central Railroad approaching Massanutten Summit,1953-1954,1953,1954,,"H. Reid. - handwritten on front; Shenandoah Central R. R. - approaching Massanutten Summit - handwritten; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-036,"Box 2: Folder 13, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32587443
community.32613456,community.32613456.jpg,/images/community.32613456.jpg,Tweetsie locomotive and Stonewall Jackson train on the Shenandoah Central Railroad crossing Cub Run Bridge No. 1,1953-1954,1953,1954,,"H. Reid. - handwritten on front; Shenandoah Central Railroad ""The Stonewall Jackson,"" pulled by famous ""Tweetsie,"" crossing Cub Run Bridge. - handwritten; Photo by H. Reid - handwritten; Property of C. G. Price, Jr. 531 Ott Street Harrisonburg, Va. 22801 - handwritten and address labels",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-037,"Box 2: Folder 13, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32613456
community.32613478,community.32613478.jpg,/images/community.32613478.jpg,Tweetsie locomotive and Stonewall Jackson train on the Shenandoah Central Railroad,1953-1954,1953,1954,,"Ride One of America's Last Old-Time Narrow-Gauge Trains! Shenandoah Central Railroad U. S. Route 33 at Penn Laird Six Miles East of Harrisonburg, Virginia - printed; Everett Waddey Company - Richmond, Virginia; printed",image/jpeg,3.5x5.5,3.5,5.5,0.636,portrait,"Special Collections, Carrier Library, James Madison University",postcards@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-039,"Box 2: Folder 14, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32613478
community.32613501,community.32613501.jpg,/images/community.32613501.jpg,Tweetsie locomotive and Stonewall Jackson train on the Shenandoah Central Railroad,1953-1954,1953,1954,,"Famous Locomotive ""Tweetsie"" pulls old-time narrow-gauge train on 1-mile Shenandoah Central Railroad each Sunday and holiday from late May to early October at Penn Laird, in the heart of the Shenandoah Valley, six miles East of Harrisonburg, Virginia, on U. S. Route 33. Come take a ""Trip to Yesteryear."" - printed; Hannau Color Productions, 605 Lincoln Rd., Miami Beach, Fla. - printed",image/jpeg,3.5x5.5,3.5,5.5,0.636,portrait,"Special Collections, Carrier Library, James Madison University",postcards@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-040,"Box 2: Folder 14, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32613501
community.32613515,community.32613515.jpg,/images/community.32613515.jpg,"Tweetsie and Shenandoah Central Railroad Penn Laird, Virginia 1953-1954",1953-1954,1953,1954,,"Five-minute home video documenting the Claytor family's trips to Penn Laird to visit the Shenandoah Central Railroad and ride the Tweetsie Route in 1953 and 1954. The footage is narrated by W. Graham Claytor Jr., Charles Grattan Price Jr.'s friend and fellow railroad enthusiast, and features Claytor's wife Frances, and children Murray and Graham III.",video/mp4,Approximate running time: 00:05:23,,,,,"Special Collections, Carrier Library, James Madison University",video recordings@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Claytor family@Penn Laird (Va.),SC0327-041,"Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32613515
community.32585397,community.32585397.jpg,/images/community.32585397.jpg,C. Grattan Price Jr. inside Tweetsie's cab and M.H. Dofflemyer standing behind the cab,1954,1954,1954,1954,"Photo by Gorman WSVA-TV - printed on front; Engineman: C. Grattan Price, Jr., Fireman: M.H. Dofflemyer (Shenandoah Central R.R. No. 12) (1954) - handwritten; Property of C. G. Price, Jr. 531 Ott Street Harrisonburg, Va. 22801 - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University","photographs@black-and-white photographs@Narrow gauge railroads--United States@Price, Charles Grattan, 1919-1996@Tweetsie (Locomotive)@Dofflemyer, Myron H.@Penn Laird (Va.)",SC0327-019,"Box 2: Folder 12, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University","Price, Charles Grattan, 1919-1996@Dofflemyer, Myron H.",Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32585397
community.32586533,community.32586533.jpg,/images/community.32586533.jpg,Wade Menefee Jr. and C. Grattan Price Jr. compare time as Myron Dofflemyer looks on,1954,1954,1954,1954,"Photo by Gorman WSVA-TV - printed on front; Conductor Wade Menefee, Jr. compares time with Engineman Grattan Price, Jr. as Fireman Myron Dofflemyer looks on. Shenandoah Central R.R. No. 12 (1954) - handwritten; Property of C. G. Price, Jr. 531 Ott Street Harrisonburg, Va. 22801 - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University","photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Price, Charles Grattan, 1919-1996@Menefee, Wade W., Jr., 1924-2004@Dofflemyer, Myron H.@Penn Laird (Va.)",SC0327-020,"Box 2: Folder 12, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University","Price, Charles Grattan, 1919-1996@Menefee, Wade W., Jr., 1924-2004@Dofflemyer, Myron H.",Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32586533
community.32586540,community.32586540.jpg,/images/community.32586540.jpg,Customer purchasing train ticket from agent inside depot,1954,1954,1954,1954,"Photo by Gorman WSVA-TV - printed on front; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-021,"Box 2: Folder 12, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32586540
community.32586587,community.32586587.jpg,/images/community.32586587.jpg,Customer interacting with two employees at the Tweetsie mail service desk inside depot,1954,1954,1954,1954,"Photo by Gorman WSVA-TV - printed on front; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-022,"Box 2: Folder 12, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32586587
community.32586788,community.32586788.jpg,/images/community.32586788.jpg,"Exchanging of mailbag off of Tweetsie as small group of people, including a WSVA reporter, look on",1954,1954,1954,1954,"Photo by Gorman WSVA-TV - printed on front; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-023,"Box 2: Folder 12, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32586788
community.32586790,community.32586790.jpg,/images/community.32586790.jpg,Two workers sorting and stamping mail inside depot,1954,1954,1954,1954,"Photo by Gorman WSVA-TV - printed on front; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-024,"Box 2: Folder 12, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32586790
community.32586793,community.32586793.jpg,/images/community.32586793.jpg,Two workers holding Shenandoah Central Railroad first anniversary envelopes by mail sorter in depot,1954,1954,1954,1954,"Photo by Gorman WSVA-TV - printed on front; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-025,"Box 2: Folder 12, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32586793
community.32586794,community.32586794.jpg,/images/community.32586794.jpg,Wade Menefee Jr. punches two passengers' tickets,1954,1954,1954,1954,"Photo by Gorman WSVA-TV - printed on front; Conductor Wade Menefee, Jr. ""lifts transportation."" - handwritten; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University","photographs@black-and-white photographs@Narrow gauge railroads--United States@Menefee, Wade W., Jr., 1924-2004@Tweetsie (Locomotive)@Penn Laird (Va.)",SC0327-026,"Box 2: Folder 12, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University","Menefee, Wade W., Jr., 1924-2004",Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32586794
community.32586795,community.32586795.jpg,/images/community.32586795.jpg,Wade Menefee Jr. stands at the end of the Stonewall Jackson train,1954,1954,1954,1954,"Photo by Gorman WSVA-TV - printed on front; Conductor Wade Menefee, Jr. at rear end of ""The Stonewall Jackson"" - America's last narrow-gauge ""name"" train. - handwritten; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-027,"Box 2: Folder 12, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32586795
community.32586796,community.32586796.jpg,/images/community.32586796.jpg,Man and woman place mail inside slot on the side of a train car signed Railway Express Agency,1954,1954,1954,1954,"Photo by Gorman WSVA-TV - printed on front; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-028,"Box 2: Folder 12, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32586796
community.32586797,community.32586797.jpg,/images/community.32586797.jpg,Tweetsie locomotive and Stonewall Jackson train on the Shenandoah Central Railroad,1954 May 30,1954,1954,1954,"Photo By Ward Allan Howe 310 Riverside Drive New York, 25, N. Y. - stamped; 5-30-54 - handwritten",image/jpeg,4x5.75,4.0,5.75,0.696,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-029,"Box 2: Folder 13, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32586797
community.32586881,community.32586881.jpg,/images/community.32586881.jpg,Tweetsie locomotive and Stonewall Jackson train on the Shenandoah Central Railroad,1954 August,1954,1954,1954,"W. E. Warden, Jr. 1216 Shamrock La. Waynesboro, Va. - stamped; August 1954 - handwritten",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-031,"Box 2: Folder 13, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32586881
community.32613466,community.32613466.jpg,/images/community.32613466.jpg,Tweetsie locomotive and Stonewall Jackson train on the Shenandoah Central Railroad,1954 May 30,1954,1954,1954,"Taken on line between Cub Run Bridge and Massanutten Summit May 30, 1954 - handwritten; Photo by Lee-Gitchell Studio - handwritten; Property of C. G. Price, Jr. 276 Franklin Street Harrisonburg, Virginia - handwritten and address label",image/jpeg,8x10,8.0,10.0,0.8,portrait,"Special Collections, Carrier Library, James Madison University",photographs@black-and-white photographs@Narrow gauge railroads--United States@Tweetsie (Locomotive)@Penn Laird (Va.),SC0327-038,"Box 2: Folder 13, Charles Grattan Price Jr. Collection on Tweetsie and Shenandoah Central Railroad, SC 0327, Special Collections, Carrier Library, James Madison University",,Tweetsie (Locomotive)@Penn Laird (Va.),Narrow gauge railroads--United States,COPYRIGHT NOT EVALUATED,"The copyright interests in this collection have not been transferred to the James Madison University Special Collections Library. It is the responsibility of the researcher to identify and satisfy the holders of all copyrights. For more information, contact the Special Collections Library Reference Desk (library-special@jmu.edu).",https://www.jstor.org/stable/community.32613466
